Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
04/09/2020;Andorre;1199;53;909;4.42;75.81;19.77
04/09/2020;Émirats Arabes Unis;72766;387;63158;0.53;86.80;12.67
04/09/2020;Afghanistan;38304;1409;29713;3.68;77.57;18.75
04/09/2020;Antigua-et-Barbuda;95;3;91;3.16;95.79;1.05
04/09/2020;Albanie;9967;306;5882;3.07;59.01;37.92
04/09/2020;Arménie;44461;891;39257;2.00;88.30;9.70
04/09/2020;Angola;2805;113;1144;4.03;40.78;55.19
04/09/2020;Argentine;451198;9468;331621;2.10;73.50;24.40
04/09/2020;Autriche;28729;735;24513;2.56;85.32;12.12
04/09/2020;Australie;26137;737;22169;2.82;84.82;12.36
04/09/2020;Azerbaïdjan;37031;543;34419;1.47;92.95;5.59
04/09/2020;Bosnie-Herzégovine;20804;636;14120;3.06;67.87;29.07
04/09/2020;Barbade;177;7;150;3.95;84.75;11.30
04/09/2020;Bangladesh;321615;4412;216191;1.37;67.22;31.41
04/09/2020;Belgique;86544;9899;18513;11.44;21.39;67.17
04/09/2020;Burkina Faso;1375;55;1075;4.00;78.18;17.82
04/09/2020;Bulgarie;16775;658;11935;3.92;71.15;24.93
04/09/2020;Bahreïn;53433;192;50013;0.36;93.60;6.04
04/09/2020;Burundi;448;1;357;0.22;79.69;20.09
04/09/2020;Bénin;2194;40;1738;1.82;79.22;18.96
04/09/2020;Saint Barthélemy;18;0;13;0.00;72.22;27.78
04/09/2020;Brunéi Darussalam;145;3;139;2.07;95.86;2.07
04/09/2020;Bolivie;118781;5288;65884;4.45;55.47;40.08
04/09/2020;Brésil;4041638;124614;3429435;3.08;84.85;12.06
04/09/2020;Bahamas;2386;50;893;2.10;37.43;60.48
04/09/2020;Bhoutan;227;0;150;0.00;66.08;33.92
04/09/2020;Botswana;1724;6;493;0.35;28.60;71.06
04/09/2020;Bélarus;72485;701;71510;0.97;98.65;0.38
04/09/2020;Belize;1118;13;255;1.16;22.81;76.03
04/09/2020;Canada;132527;9189;117277;6.93;88.49;4.57
04/09/2020;Rép. Dém. du Congo;10125;259;9367;2.56;92.51;4.93
04/09/2020;République Centrafricaine;4729;62;1807;1.31;38.21;60.48
04/09/2020;Congo (Brazzaville);4628;102;1742;2.20;37.64;60.16
04/09/2020;Suisse;43532;2013;36500;4.62;83.85;11.53
04/09/2020;Côte d'Ivoire;18208;119;17045;0.65;93.61;5.73
04/09/2020;Chili;416501;11422;389409;2.74;93.50;3.76
04/09/2020;Cameroun;19604;415;18448;2.12;94.10;3.78
04/09/2020;Chine;85103;4634;80260;5.45;94.31;0.25
04/09/2020;Colombie;641574;20618;489151;3.21;76.24;20.54
04/09/2020;Costa Rica;44458;460;17855;1.03;40.16;58.80
04/09/2020;Cuba;4214;100;3474;2.37;82.44;15.19
04/09/2020;Cap-vert;4125;41;3502;0.99;84.90;14.11
04/09/2020;Chypre;1498;21;1139;1.40;76.03;22.56
04/09/2020;République Tchèque;26452;426;18663;1.61;70.55;27.84
04/09/2020;Allemagne;249593;9327;222802;3.74;89.27;7.00
04/09/2020;Djibouti;5387;60;5327;1.11;98.89;0.00
04/09/2020;Danemark;17561;627;15600;3.57;88.83;7.60
04/09/2020;Dominique;20;0;18;0.00;90.00;10.00
04/09/2020;République Dominicaine;96629;1801;70871;1.86;73.34;24.79
04/09/2020;Algérie;45469;1529;32006;3.36;70.39;26.25
04/09/2020;Équateur;116360;6648;102051;5.71;87.70;6.58
04/09/2020;Estonie;2456;64;2157;2.61;87.83;9.57
04/09/2020;Égypte;99425;5479;75415;5.51;75.85;18.64
04/09/2020;Sahara Occidental;10;1;8;10.00;80.00;10.00
04/09/2020;Érythrée;330;0;295;0.00;89.39;10.61
04/09/2020;Espagne;488513;29234;150376;5.98;30.78;63.23
04/09/2020;Éthiopie;55213;856;20283;1.55;36.74;61.71
04/09/2020;Finlande;8225;336;7350;4.09;89.36;6.55
04/09/2020;Fidji;29;2;23;6.90;79.31;13.79
04/09/2020;Îles Féroé;413;0;379;0.00;91.77;8.23
04/09/2020;France;340481;30706;87206;9.02;25.61;65.37
04/09/2020;Gabon;8538;53;7335;0.62;85.91;13.47
04/09/2020;Royaume-Uni;342410;41616;1504;12.15;0.44;87.41
04/09/2020;Grenade;24;0;24;0.00;100.00;0.00
04/09/2020;Géorgie;1596;19;1294;1.19;81.08;17.73
04/09/2020;Guyane Française;9251;61;8772;0.66;94.82;4.52
04/09/2020;Ghana;44713;280;43577;0.63;97.46;1.91
